k,coordinates,cluster_id,mse,center,radius
1,"[2.62, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.8178220187663602
1,"[2.4, 12.5]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",2.5483830612622
1,"[1.26, 12.5]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",2.6408813575348593
1,"[2.0, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.5785191977991933
1,"[2.18, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.593713134225304
1,"[1.4, 11.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",3.482316863344292
1,"[1.84, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.6109440392417027
1,"[1.95, 14.0]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",1.0268998421227036
1,"[2.3, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.6327473177379537
1,"[2.62, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.8178220187663602
1,"[1.26, 12.5]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",2.6408813575348593
1,"[2.3, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.6327473177379537
1,"[1.95, 14.0]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",1.0268998421227036
1,"[1.26, 13.3]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",1.8914574294232103
1,"[2.4, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.6799000441721997
1,"[2.2, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.598727205114141
1,"[2.2, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.598727205114141
1,"[1.2, 13.3]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",1.9169961570498226
1,"[2.71, 17.3]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",2.373472477084394
1,"[2.23, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.6074065662569231
1,"[1.15, 11.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",3.536847958540212
1,"[1.29, 13.3]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",1.8792763708163027
1,"[3.0, 17.3]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",2.470984988858371
1,"[2.2, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.598727205114141
1,"[1.91, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.5916747843685045
